,City,Population,Zip Codes
74,Durham,"274,291
","27701, 27702, 27703, 27704, 27705, 27706, 27707, 27708, 27709, 27710, 27711, 27712, 27713, 27715, 27717, 27722"
75,Chula Vista,"271,651
","91909–91915, 91921"
76,Fort Wayne,"267,633
","
ZIP codes
46774, 46802–46809, 46814–46816, 46818, 46819, 46825, 46835, 46845
"
77,Jersey City,"265,549
","07097, 07302-07308, 07310-07311[24]"
78,St. Petersburg,"265,098
","33701, 33702, 33703, 33704, 33705, 33710, 33712-33713, 33715[5]"
79,Laredo,"261,639
","78040–78046, 78049"
80,Madison,"258,054
",N/A
81,Chandler,"257,165
","85225, 85224, 85286, 85248, 85249,85247,85246"
82,Buffalo,"256,304
",142XX
83,Lubbock,"255,885
","79401-79416, 79423, 79424, 79430, 79452, 79453, 79457, 79464, 79490, 79491, 79493, 79499"
84,Scottsdale,"255,310
",85250–85271
85,Reno,"250,998
",89500-89599
86,Glendale,"250,702
",85301-85318
87,Gilbert,"248,279
","85233, 85234, 85295-85298"
88,Winston–Salem,"246,328
",N/A
89,North Las Vegas,"245,949
","89030–89033, 89036, 89081, 89084–89087"
90,Norfolk,"244,076
","23501-23515, 23517-23521, 23523, 23529, 23541, 23551"
91,Chesapeake,"242,634
",23320-23328
92,Garland,"242,507
",75040-75049
93,Irving,"242,242
",75000–75099
94,Hialeah,"238,942
","33002, 33010-33018"
95,Fremont,"237,807
","94536–94539, 94555"
96,Boise,"228,790
",83701–83799
97,Richmond,"228,783
","23173, 23218–23242, 23249–23250, 23255, 23260–23261, 23269, 23273–23274, 23276, 23278–23279, 23282, 23284–23286, 23288–23295, 23297–23298"
98,Baton Rouge,"221,599
","70801-70817, 70819-70823, 70825-70827, 70831, 70833, 70835-70837, 70874, 70879, 70883, 70884, 70892-70896, 70898"
99,Spokane,"219,190
","
Zip codes[5]
99201, 99202, 99203, 99204, 99205, 99206, 99207, 99208, 99209 (PO BOX), 99210 (PO BOX), 99211 (PO BOX), 99212, 99213 (PO BOX), 99214 (PO BOX), 99215 (PO BOX), 99216, 99217, 99218, 99219 (PO BOX), 99220 (PO BOX), 99223, 99224, 99228 (PO BOX), 99251, 99252, 99256, 99258, 99260, 99299
"
100,Des Moines,"216,853
",50301-50340-50310
101,Tacoma,"216,279
","
Zip codes[4]
98001, 98002, 98071, 98092, 98401–98409, 98411–98413, 98415, 98416, 98418, 98421, 98422, 98424, 98430, 98431, 98433, 98438, 98439, 98442–98447, 98450, 98455, 98460, 98464, 98465, 98466, 98467, 98471, 98477, 98481, 98492, 98493, 98497–98499
"
102,San Bernardino,"215,941
","92401–92408, 92410–92415, 92418, 92420, 92423, 92424, 92427"
